Date,IGNIS,BARING,THREAD,LAZARD,HENDER,BLACKR,GARTPAN,JCSCEXPT
02/11/2007,99.4476,1440,,,834.39,188.3,6.5709,550.09
09/11/2007,97.73,1415,,,826.48,186.5,6.3733,532.74
16/11/2007,95.59,1375,,,832.9,186,6.0772,526.27
23/11/2007,91.72,1323,,,824.53,183.3,5.682,508.47
30/11/2007,94.1457,1376,,,846.85,190.9,5.8598,524.51
07/12/2007,97.141,1400,,,864.43,194.6,5.8572,532.58
14/12/2007,95.1699,1371,,,839.78,188.1,5.7904,519.55
21/12/2007,93.6301,1368,,,848.08,189.7,5.7265,513.7
28/12/2007,96.84,1396,,,868.02,195.1,5.7365,528.03
04/01/2008,97.78,1404,,,864.51,191.9,5.6624,519.37
11/01/2008,90.72,1308,,,849.5,184.9,5.1845,489.69
18/01/2008,84.97,1247,,,810.19,175.8,4.9788,461.24
25/01/2008,86.06,1258,,,782.86,170.7,4.9483,458.5
01/02/2008,90.03,1296,,,792.22,175.6,5.0451,481.06
08/02/2008,86.47,1250,,,754.42,167.1,4.9587,461.86
15/02/2008,89.4234,1305,,,776.8,171.7,5.0572,476.6
22/02/2008,89.6595,1321,,,779.89,172.7,5.1045,485.63
29/02/2008,89.82,1332,,,791.11,175.1,5.0624,491.25
07/03/2008,87.62,1305,,,762.36,170.4,4.9629,473.47
14/03/2008,88.9212,1304,,,767.55,171.8,4.9805,471.5
21/03/2008,86.7993,1276,,,754.47,166.4,4.7686,462.05
28/03/2008,91.8,1358,,,793.85,176.2,4.9037,494.65
04/04/2008,93.6167,1371,,,812.83,181.1,5.0258,507.24
11/04/2008,95.04,1391,,,820.58,184.5,4.9381,504.47
18/04/2008,96.8047,1389,,,821.25,186.6,5.0431,504.28
25/04/2008,97.33,1385,,,825.9,190.2,5.1091,505.22
02/05/2008,98.87,1410,,,830.78,191.3,5.2742,512.89
09/05/2008,101.26,1441,,,840.38,195.2,5.306,522.36
16/05/2008,103.38,1481,,,862.45,199.9,5.3932,534.58
23/05/2008,101.73,1453,,,849.11,197.8,5.3153,523.43
30/05/2008,101.5048,1440,,,840.45,195.3,5.3918,517.11
06/06/2008,104.05,1472,,,841.49,198.8,5.4,521.33
13/06/2008,97.13,1381,,,797.67,187.7,5.1936,496.78
20/06/2008,94.79,1363,,,784.61,188.6,5.1114,484.31
27/06/2008,91.17,1314,,,763.72,183.8,4.9276,465.9
04/07/2008,88.44,1282,,,751.84,179.7,4.7954,444.9
11/07/2008,86.05,1261,,,743.65,178.6,4.6162,435.4
18/07/2008,84.78,1255,,,734.52,173.9,4.6794,442.56
25/07/2008,84.1,1240,,,731.63,171.8,4.715,441.1
01/08/2008,85.17,1248,,,741.31,174.1,4.7588,440.29
08/08/2008,86.77,1259,,,750.14,174.6,4.7598,452.01
15/08/2008,88.16,1259,,,754.41,173.2,4.7338,455.67
22/08/2008,89.08,1256,,,742.89,171.4,4.7355,453.44
29/08/2008,92.3256,1299,,,769.49,177.5,4.8076,467.05
05/09/2008,88.56,1253,,,741.31,171,4.65,448.68
12/09/2008,84.86,1213,,,731.38,168.4,4.6021,436.83
19/09/2008,82.3,1166,,,707.41,161.4,4.4939,421.06
26/09/2008,80.14,1127,,,701.85,157.9,4.2291,404.15
03/10/2008,73.96,1037,,,664.03,148,3.9912,372.69
10/10/2008,62.22,901.5,,,555.25,124.7,3.3081,310.14
17/10/2008,58.2695,884.2,,,559.96,125.7,3.2466,312.09
24/10/2008,56.16,865.8,,,560.77,125,2.9683,296.43
31/10/2008,59.5354,899.5,,,584.04,129.3,3.1385,308.3
07/11/2008,62.2189,952.1,,,607.58,135.2,3.2059,324.4
14/11/2008,64.55,993.9,,,633.17,140.4,3.1235,323.83
21/11/2008,56.53,880,,,559.49,125.5,2.8619,288.21
28/11/2008,57.68,913,,,601.48,133.5,2.9745,299.22
05/12/2008,57.7528,917.6,,,603.86,136.1,2.8065,299.92
12/12/2008,58.9743,950.5,,,627.4,139.1,2.8633,317.39
19/12/2008,61.8639,996.4,,,669.68,147.7,2.8385,328.36
26/12/2008,63.17,1016,,,677.41,148.8,2.8418,335.13
02/01/2009,67.8126,1087,,,715.58,157.3,2.9953,359.29
09/01/2009,65.1619,1028,,,677.75,151,3.1052,338.27
16/01/2009,62.2406,984.4,,,640.22,143.7,2.9348,322.17
23/01/2009,62.58,999.5,,,631.34,141.6,2.7425,319.74
30/01/2009,61.5371,986.8,,,623.16,139.3,2.8932,318.21
06/02/2009,62.35,996.4,,,614.64,138.9,3.0015,316.37
13/02/2009,62.9863,1001,,,615.53,138.3,2.9785,321.45
20/02/2009,59.39,942.1,,,572.83,129.4,2.8281,292.79
27/02/2009,58.77,928,,,562.29,126.6,2.8114,288.3
06/03/2009,55.88,875.6,,,533.98,120,2.7222,269.4
13/03/2009,61.18,948.1,,,579.9,128.6,2.7823,290.58
20/03/2009,62.2,990.7,,,600.64,133.4,2.8156,304.54
27/03/2009,63.36,994.3,,,611.98,135.3,2.9116,312.45
03/04/2009,65.51,1030,,,621.87,139.7,3.0316,325.87
10/04/2009,65.11,1022,,,608.88,136.4,3.1641,329.8
17/04/2009,67.21,1056,,,622.35,142.4,3.3419,345.2
24/04/2009,68.57,1084,,,630.65,147.3,3.3489,359.4
01/05/2009,69.2,1094,,,641.63,149.2,3.4516,364.83
08/05/2009,72.85,1142,,,666.35,158.7,3.6648,395.44
15/05/2009,72.87,1115,,,647.32,151.3,3.6007,379.58
22/05/2009,75.13,1144,,,660.28,158.3,3.7391,392.5
29/05/2009,74.38,1138,,,662.15,159.8,3.7548,389.48
05/06/2009,76.42,1153,,,670.74,164.7,3.8848,397.87
12/06/2009,75.63,1133,,,655.29,162.8,3.9631,393.02
19/06/2009,72.4,1065,,,634.07,152.3,3.7837,371.5
26/06/2009,72.96,1084,,,633.31,150.6,3.7984,371.95
03/07/2009,73.21,1094,,,627.15,149.5,3.8084,376.1
10/07/2009,70.82,1058,,,613.56,144.1,3.6757,361.05
17/07/2009,74.64,1133,,,662.74,156.7,3.8654,383.02
24/07/2009,77.44,1176,,,693.86,166.3,4.0061,397.18
31/07/2009,77.85,1178,,,697.26,168.3,4.1228,403.97
07/08/2009,78.32,1190,,,700.51,171.7,4.2786,416.87
14/08/2009,80.58,1242,,,722.63,181.3,4.3701,429.11
21/08/2009,80.54,1246,52.04,,728.52,182.8,4.4549,439.82
28/08/2009,85.13,1298,54.04,,765.54,195.6,4.5594,459.78
04/09/2009,82.56,1259,53.05,,736.38,188.9,4.4948,444.7
11/09/2009,85.51,1327,55,,771.1,199,4.7019,469.4
18/09/2009,89.58,1406,57.7,,809.92,211.1,4.7989,500.12
25/09/2009,90.99,1416,58.18,,811.47,213.9,4.6781,501.98
02/10/2009,90.14,1386,57.64,,794.5,208.8,4.6282,491.16
